date,synthetic_truflation_level
2022-03-31,131.27858602291866
2022-04-30,131.68693158939502
2022-05-31,133.0308790748015
2022-06-30,134.80842545217268
2022-07-31,134.73230556160644
2022-08-31,134.7664638847167
2022-09-30,135.30691508852843
2022-10-31,136.029802175267
2022-11-30,136.3172590964462
2022-12-31,136.24823933272842
2023-01-31,136.9908597743272
2023-02-28,137.3558119696828
2023-03-31,137.41907771639134
2023-04-30,137.84783830929265
2023-05-31,138.00641761683374
2023-06-30,138.2714128528397
2023-07-31,138.49930122125346
2023-08-31,139.23955129162493
2023-09-30,139.74183241618164
2023-10-31,139.89297503311613
2023-11-30,140.05495726576044
2023-12-31,140.27962423758513
2024-01-31,140.67829944173477
2024-02-29,141.25732210741182
2024-03-31,141.90339321799195
2024-04-30,142.1613224275949
2024-05-31,142.14981621901694
2024-06-30,142.01044293375995
2024-07-31,142.20885479711416
2024-08-31,142.3602010342344
2024-09-30,142.6712004157196
2024-10-31,143.04848700369462
2024-11-30,143.454655568083
2024-12-31,143.99824871914757
2025-01-31,144.5901102221764
2025-02-28,144.90238665113867
2025-03-31,144.93161390680746
2025-04-30,145.15555707018075
2025-05-31,145.26996197223573
2025-06-30,145.65610559216069
2025-07-31,145.98198436644904
2025-08-31,146.49820456378174
2025-09-30,146.94398196583396
2025-11-30,147.35280332721277
2025-12-31,147.7968170945648
2026-01-31,148.08605608724739
2026-02-28,148.50617977900427
2026-03-31,149.93899717375245
