date,synthetic_truflation_yoy
2022-08-31,8.752712746666425
2022-09-30,8.674871332253087
2022-10-31,8.116230579727922
2022-11-30,7.332925306297056
2022-12-31,6.47790566413633
2023-01-31,6.3761606134016935
2023-02-28,5.894700477007553
2023-03-31,4.677451120931986
2023-04-30,4.678449596735668
2023-05-31,3.7401380616560065
2023-06-30,2.5688211912953562
2023-07-31,2.7959112285246057
2023-08-31,3.3191398497586455
2023-09-30,3.2776723382921924
2023-10-31,2.839945950132039
2023-11-30,2.7419111813785424
2023-12-31,2.958852844337878
2024-01-31,2.691741385872093
2024-02-29,2.8404405185199932
2024-03-31,3.263240865911965
2024-04-30,3.1291634103278287
2024-05-31,3.0023231337596767
2024-06-30,2.704123725776686
2024-07-31,2.6783915464921204
2024-08-31,2.2412092782987614
2024-09-30,2.0962713518838605
2024-10-31,2.2556614939610142
2024-11-30,2.4274030485557985
2024-12-31,2.650865727487539
2025-01-31,2.7806781827511395
2025-02-28,2.580442903310276
2025-03-31,2.134001604995839
2025-04-30,2.1062231213492266
2025-05-31,2.1949699522730626
2025-06-30,2.5671792743447996
2025-07-31,2.6532311048548474
2025-08-31,2.9067137440697
2025-09-30,2.9948451668340814
2025-11-30,3.0089911565488903
2025-12-31,3.026852986601769
2026-01-31,2.8387896411661506
2026-02-28,2.7083937835101324
2026-03-31,3.475864434682996
