t,F_true,F_smoothed,y_NE,lambda_NE_true,lambda_NE_smoothed,y_MW,lambda_MW_true,lambda_MW_smoothed,y_S,lambda_S_true,lambda_S_smoothed,y_W,lambda_W_true,lambda_W_smoothed
10,-0.503356962608807,-2.6686633,-0.9423398168283057,-0.501550411379114,-0.41117904,-0.42785713453399604,-0.021935773430891134,-0.11787428,-0.8944911391790842,-0.20319414715208162,-0.3071456,-0.6669129939406334,0.04228561123731757,0.11481936
11,-0.37144726637938275,-2.3147202,-1.2206563947349853,-0.7227549291608111,-0.7598758,-0.3979775949441866,-0.04786110555312352,-0.12398688,-0.49528319501389617,-0.023258102644020534,-0.059891865,-0.3781413078463248,0.10061953176871077,0.21638872
12,-0.2547784760650405,-1.9520454,-1.1581251057956183,-1.0810649137563504,-0.7695915,-0.1457501746826095,-0.12497300065414718,0.07727648,-0.42566540211899345,-0.10896623664102474,-0.030251544,-0.3043407063851372,0.033022880459879146,0.23194398
13,-0.2448738714308581,-2.0682425,-1.233552199318172,-1.0545580647239332,-0.8218244,-0.40373524946876455,-0.06204567827783291,-0.15785384,-0.4429539077880441,-0.13154181487041106,-0.030002955,-0.22822838052122113,0.01969283817491593,0.3015623
14,-0.07578769038565317,-1.6355305,-0.8232948770179529,-0.7464875750697951,-0.49776798,-0.3224166670772205,-0.1252302038338579,-0.12838762,-0.3835734034201732,-0.24682735003003387,-0.09356767,-0.16642050400653247,0.034621412939234236,0.291122
15,-0.005661289047846324,-1.4287217,-0.5381306605715093,-0.6914912520858408,-0.2538017,-0.08736001364881485,-0.19439407562589242,0.07814239,-0.7049588272274808,-0.6994521153124869,-0.40757608,-0.024370863820458305,-0.11870889288204368,0.35730624
16,-0.13455515848033206,-1.8343849,-0.6668349279819623,-0.5482095478845943,-0.3016677,-0.06730963054503414,-0.10879733535519803,0.1434573,-1.0790848046052772,-0.8775485736138541,-0.70416296,-0.11568419228967206,0.012604636517717982,0.42742684
17,-0.07924254086795723,-1.4513423,-0.33018546473810706,-0.24813461635974665,-0.04132139,-0.2773048277836734,-0.14733675530353915,-0.103641376,-1.349117612089108,-1.1157050786489398,-1.0180956,0.4175180922953451,0.6522259027869841,0.6931265
18,-0.22307493099230707,-1.8882058,-0.2344821400467523,0.054622802547753674,0.14133573,-0.3006147798715845,-0.0812537458960785,-0.07717384,-1.5764911136545954,-1.4090956508153352,-1.1637748,0.013850606058860335,0.1830217338008095,0.5650453
19,-0.0913073857962162,-1.2799953,-0.0005205466451456212,0.03260179522036271,0.25427252,-0.026314023691064455,-0.02402239328904441,0.11537228,-1.50850160876841,-1.4833507011074603,-1.1864563,0.3370515876112,0.23234188106650794,0.6122655
20,-0.09879627244415413,-1.3489499,0.24729272813943162,0.29842870385118775,0.5157311,-0.4919996352004107,-0.19013226479497172,-0.32792717,-1.1208820773943233,-1.0965236087080208,-0.90009487,0.008967278619908162,0.03721903584236774,0.42797145
21,-0.12652562697594322,-1.4197817,0.14703211697335933,0.27208972996033143,0.42957616,-0.49897928774950506,-0.22429198041578918,-0.32794774,-1.2881213973239483,-0.9948697580240025,-0.9302408,0.13799648024943933,0.15978131859551858,0.4601981
22,-0.2286650586365344,-1.4228394,-0.24386706832250543,0.06379662570078928,0.03939777,-0.15190592447580725,0.036232956654838,0.01099962,-0.8847210542455637,-0.6630813050037909,-0.6094386,-0.13787723357105017,0.15085020449618577,0.29264954
23,-0.045283857835429875,-0.7132162,-0.09694381101289865,-0.06465293859407616,0.044969596,-0.022035205458160928,-0.14532556158627263,0.05494459,-0.5050106686995348,-0.5227963106612543,-0.3874342,0.07533672308607561,0.30035623024598546,0.3094582
24,-0.0684632801457502,-0.952161,-0.426505459039932,-0.351062300317968,-0.23698434,-0.5252559215332968,-0.43375861661459775,-0.40936568,-0.5080859059706839,-0.32965609096640025,-0.32714707,0.24951062014217087,0.5229249294483986,0.48757166
25,-0.1327124534702163,-1.1577713,-0.7420896113606397,-0.4760297260170033,-0.5116152,-0.7090887045336908,-0.6262836662780549,-0.5685724,-0.6039183150236087,-0.4588519410245837,-0.34989876,0.3554885986990854,0.5025065838235907,0.614095
26,-0.18553248604345074,-1.015089,-0.8089423259052079,-0.47622860472933864,-0.6068113,-0.5131542540099578,-0.4966604410359436,-0.3934365,-0.534367974346277,-0.31865557516744464,-0.28773847,0.390867184586395,0.691257297215879,0.5671302
27,-0.10568610821044844,-0.6244473,-0.293248080473689,-0.2440773101442175,-0.16902135,-0.25598256354334936,-0.39269076112385004,-0.1879709,-0.08766110869198482,-0.1556214555173179,-0.020589672,-0.1362886835898536,0.09256088491646453,0.18681088
28,-0.05086949855583669,-0.17068705,-0.1743700774503937,0.1366882526106119,-0.14040539,-0.4250877335167651,-0.3317942372128482,-0.3982841,-0.10736266727781385,-0.24385582256765082,-0.086756706,0.3589480677485587,0.4313530842680139,0.37156987
29,0.011040393183561571,0.2256976,-0.12866984247670035,-0.1602512883563879,-0.1735884,-0.07726231257585281,-0.0833069154310033,-0.11000094,-0.27304418043107814,-0.1187529735999758,-0.23260163,0.5380154274969259,0.46210438757216704,0.4439806
30,0.07566354363474398,0.7771561,-0.029792863591584395,-0.05764810145094593,-0.184441,-0.23240069463163826,-0.4675706973102433,-0.32042977,0.32765871887450904,-0.0049638796965083,0.09168576,0.5968642513763993,0.6437773993274469,0.40329707
31,0.39691068376531313,1.1771518,0.2706256703884933,-0.2571096740648109,0.036270883,-0.18904892556699485,-0.3146664766835712,-0.32041204,0.24169221649623973,-0.10338696353027238,0.0005800687,0.7692475744098871,0.29815144754301853,0.42184967
32,0.3359484313076208,1.235915,0.16299780512978437,-0.12360380526244884,-0.0829544,0.32040455789439576,-0.017517451076320967,0.16496393,0.17246401888510127,-0.29514658498602425,-0.08752406,0.6673239288966211,0.07960389988468244,0.3315146
33,0.2591120219468902,0.56600696,0.19377987876145297,-0.13128056461062682,0.08102146,-0.10363421346811658,-0.18318107559481386,-0.16476274,-0.09670200400115847,-0.47877502622911083,-0.2107822,0.33147464711919067,0.10215785661037086,0.2290309
34,0.13704611270970857,0.034434468,-0.3804149165026095,-0.4777696450885389,-0.3871507,-0.0973363216372237,-0.20351583724433536,-0.10355903,-0.3641448247638379,-0.41532652606033665,-0.32497752,0.3512866434020013,0.08615057816288449,0.307285
35,0.2294430260960329,0.69795376,0.02037304143308605,-0.2204448000115612,-0.11858806,-0.13939824385256586,-0.27574645737976144,-0.22083399,-0.013217988982680215,-0.3149320970722263,-0.19103746,0.38789045591547944,0.13808759814553606,0.26581576
36,0.39878887000416663,1.3648733,0.16409430052459856,-0.3083782225715732,-0.107593074,-0.17139802388264483,-0.3547490728154385,-0.32899338,0.0018208457305486942,-0.42609353684742823,-0.24752375,0.9331153287630762,0.3601104217726643,0.46222517
37,0.3816967513559354,1.0421333,-0.03346035713707079,-0.36890153686054816,-0.24089047,-0.16386102582247958,-0.3327385590058068,-0.28241035,0.09660060523078035,-0.37869882172398767,-0.13878113,0.5344872292763205,-0.07145129820668222,0.2866803
38,0.2556732798115562,1.158715,-0.17218802032800729,-0.5275167885894039,-0.4028464,0.15454467764149504,-0.05206805465196973,0.018519182,0.06617556498411287,-0.2381322730466615,-0.14849034,0.5578664938094529,0.15136305335592765,0.22832519
39,0.13200109745787025,1.0206255,-0.5466146158912825,-0.5792459256385044,-0.7496499,0.42590825863832965,0.23395355760155223,0.30021748,0.16179043863844075,-0.10304471710224122,-0.03346269,0.39753889406057924,0.13502150714396027,0.104124695
40,0.2295900156315754,1.3682878,-0.147731648766332,-0.4067809486537453,-0.420115,0.2845113529484721,0.13677196232521963,0.12975934,0.44668714773937007,0.18659817623003083,0.15895773,0.25729458381953696,0.07398691683928454,-0.09115492
41,0.34107814131209174,2.0029707,0.049729439047912424,-0.3836126745429646,-0.3489309,0.640942616761632,0.3951766019698462,0.40251607,0.7561934569033454,0.3977949084026755,0.31603387,0.2962306896337437,-0.2585368647461055,-0.22415185
42,0.422551281557871,2.2107234,0.22821665783188078,-0.2603383729050237,-0.21179767,0.6743810568431852,0.32147775312357074,0.4148648,0.7521957926856061,0.17778295966623003,0.3189988,0.3472056206280878,-0.11684173393366253,-0.30472118
43,0.3227248254645668,1.9472973,0.36546606695460643,-0.14890324618350143,-0.022154905,0.6489813570279195,0.5202358565040187,0.42090386,0.8760870859133348,0.46305018141645105,0.43823785,-0.18842800342736052,-0.6339244530884512,-0.6078041
44,0.35754902392457477,2.213904,0.4187696640431659,0.13756457184965717,-0.021901336,0.7264474553436859,0.4021938877551912,0.46585113,0.7876546582038984,0.32116939245477727,0.35510933,0.07543151355634964,-0.4152068362453203,-0.5552974
45,0.375051895295684,2.0009449,0.28550962606015795,0.048372655899332734,-0.1127834,0.6858844205240281,0.34141378411107465,0.45341194,0.8232279770504892,0.4771295594510965,0.39578795,-0.15756557992859274,-0.69364529969994,-0.6504247
46,0.40785518480503596,2.0726535,0.054166868100810464,-0.25425480585471355,-0.35827082,0.8738134574238511,0.3279521981852849,0.62961435,0.7857686213408751,0.4416541961951828,0.35033646,-0.03473971510753704,-0.5986471229601029,-0.60365546
47,0.5385695014972645,2.7879643,0.6019416564899983,-0.0026721016621099047,0.04694871,1.0785780424454852,0.7391898104533583,0.7494211,0.8589561257751311,0.3233018884534104,0.25489053,0.06273274167693843,-0.5530266124170331,-0.6189287
48,0.5721088338134668,2.8909903,0.5533322064081603,-0.06856892083224436,-0.022056371,1.073712688092019,0.719044684589405,0.7327641,0.5328238434753361,-0.034413735151418545,-0.01038,0.37938971620560047,-0.2293650265223347,-0.41311648
49,0.673945868274251,3.5845163,0.8488064404470602,0.16463490620806767,0.13531609,1.0178047631281546,0.46914606817880444,0.6000761,0.7581064084917482,-0.06185397347521936,-0.001689435,0.7222191362299927,-0.24114536052271038,-0.2823827
50,0.6840827286975847,3.2989914,0.7884021167002233,0.21661509291335163,0.13178964,1.0814348620639453,0.5206665350844223,0.68946075,0.5137318481140413,-0.33635755848270704,-0.12335058,0.54297260434672,-0.3649184007120316,-0.31974173
51,0.7274506385010823,3.5069222,0.9620326907696682,0.1578953229356799,0.26396292,0.817965079117973,0.3622583475048866,0.4085432,0.6560747332152131,-0.1286079401827373,-0.027515247,0.6280427284069362,-0.4325807857402525,-0.2900917
52,0.8221438723768634,4.098257,0.9036395979163963,0.20396620330458692,0.088015966,0.7515285935395274,0.21634415056872794,0.27360064,1.204725693617586,0.15727553212060108,0.26612207,0.9636768583457394,-0.10063688232539619,-0.19207108
53,0.6035704993985134,3.8184516,1.283039242470362,0.5635737848341588,0.5230105,0.7859779578395625,0.30936552443879906,0.33455947,0.7988784895500145,-0.0018959991648632435,0.032907363,0.6735500899238194,0.02942487677344796,-0.3096745
54,0.5556198169449181,3.878729,1.7357974821786901,0.8944338229197856,0.9636574,0.5583307055046888,0.25215525771671216,0.10776448,0.6881700246845558,0.05264833440509188,-0.10220398,0.7599740257543429,-0.05894470437446128,-0.29340878
55,0.4850639188009988,2.9802773,1.2958540099665274,0.7741449765083734,0.7026885,0.5420019377093382,0.24351059335014064,0.19162932,0.36819416052994186,-0.08318697299685288,-0.20634231,0.48965648123346883,-0.10388955224171889,-0.33753985
56,0.38923224156449754,2.4011059,1.1376044038258044,0.6900613486955325,0.6596875,0.47832810379189816,0.1969062579599064,0.19778623,0.39769760354271166,-0.1879955271217897,-0.10967451,0.10400049387443805,-0.43620176590151094,-0.49425614
57,0.347960903880495,2.2999573,1.1004751048754187,0.8018001778844797,0.6426536,0.5511789765573126,0.20801247535874035,0.28030252,0.3468683314518598,-0.02978692771384389,-0.09298375,0.089210002390701,-0.2983932298059906,-0.5001361
58,0.5722021005656543,2.4599104,0.9035787131053109,0.5123979446483382,0.4139992,0.5702364736804186,0.23015486490241466,0.27548745,0.6082937081910437,-0.033745122074273756,0.09870271,0.2585474038364456,-0.6497454979222742,-0.4206853
59,0.4423274332116679,2.0832937,0.8842078243833842,0.5021523274747385,0.46952695,0.018969609061219778,-0.10642114798388053,-0.21656854,0.7353657116529135,0.2827660376807357,0.2665518,0.08098836506904761,-0.40638081568780093,-0.42400622
60,0.58756918640039,2.4721944,0.8999365710532715,0.4216569087627564,0.4078398,0.23448766563277748,0.014848981904325612,-0.060009427,0.7250346601568457,0.16768758774613637,0.21342209,0.4007785994527032,-0.32931836745718635,-0.24567597
61,0.3351387206580193,2.2145405,0.6116282777563713,0.4211900147398537,0.1709001,-0.02676792966108446,-0.1354237274510846,-0.28532103,0.5525880185092229,0.3307993688169308,0.14052817,0.6817544396690957,0.23532923254393895,-0.017076794
62,0.28490596616015307,1.7975457,0.6484797116987124,0.19133775133899447,0.29060292,-0.25656644780266596,-0.32468385229477936,-0.4620238,0.6919372413995357,0.31525384626763847,0.30126294,0.22621942611882215,-0.034940097180681,-0.17103231
63,0.30931892592590393,1.7386172,0.18132876770483272,-0.1552764100236485,-0.16472176,-0.06744659612848407,-0.2685087684146259,-0.27395302,0.6888792165236689,0.4269685033948366,0.34756202,0.3818336110144961,-0.05333294554793853,-0.026170127
64,0.39725227562979565,2.4277847,-0.11136060202716558,-0.5465816357183596,-0.59453094,-0.04302128665343613,-0.20220986423453258,-0.32556796,1.04671390082842,0.30378327473596256,0.4830035,1.0263093081863712,0.3486903021208879,0.32460845
65,0.5039362625987239,2.333879,-0.21503718687942816,-0.6880712129585271,-0.67954123,0.016686071763518107,-0.2657938160734682,-0.25457612,0.7102068871004299,0.26448435650308144,0.2682755,1.1750241120394627,0.5689531867304926,0.49419504
66,0.6229383478787127,2.5580082,-0.07094434836824558,-0.6765955880026147,-0.5800733,0.2706679808083155,-0.08798027420857842,-0.033451237,0.7767400577474121,0.21724612257896506,0.25940233,1.1968462871207546,0.34751215297525545,0.47030777
67,0.5706295870414471,2.0891855,0.03334008813340561,-0.6337445671319748,-0.3824857,0.08367943052171478,-0.2717104943224988,-0.15847352,0.7237376469557628,0.04503122964882686,0.2961057,0.8219584534104089,0.3550835288603833,0.30392435
68,0.501276818141762,2.5160627,0.34680645669596527,-0.15123664957627514,-0.15397415,0.2047342480776627,-0.2784099577738829,-0.091581,0.8640386307613275,0.15970278290865964,0.3431758,0.9606803073442629,0.3129133638084565,0.29105532
69,0.629973200330335,2.9735181,0.775690115974434,0.09264752184162578,0.183752,0.19671691271522973,-0.3104590864590564,-0.15043595,0.96020681167959,0.26077732562189926,0.3706735,1.1250549828149714,0.33739405097815633,0.29698527
70,0.6012775515980927,2.4865742,0.46800929211064757,-0.11366782970294356,-0.026890062,0.1671518679281192,-0.25535535971814605,-0.12479559,1.0601689869193407,0.3415394381427113,0.5164715,0.843008125780597,0.143197068944115,0.19212687
71,0.4099246030974044,1.997489,0.34863334926688905,-0.02707596475731064,-0.048966937,0.07838994903266822,-0.16245464507743104,-0.1564441,0.8506016336948902,0.5840393120336163,0.48731345,0.7474099630661386,0.10636293207665959,0.14336005
72,0.23993152099688234,0.9416622,-0.0051901128770829585,-0.10443021731377906,-0.19261606,-0.15651885946996102,-0.2811476585054765,-0.26264083,0.982690963580183,0.7865174450527892,0.71880996,0.02131446680014762,-0.2579721423334166,-0.15293331
73,0.10201367809664064,0.4104693,-0.2413996804648034,-0.14563845232473122,-0.32304117,-0.012091503523103599,-0.11627572518594699,-0.061886065,0.645229129367214,0.640375656374666,0.57423216,-0.08241829302615444,-0.19728832584242853,-0.171906
74,0.17658778970470523,0.78102076,0.06370404500511993,-0.08672755459294512,-0.09174896,0.09845813522997005,-0.08357022489855263,0.001489358,0.6482294917357392,0.6434875080553515,0.5087076,0.11723566054867562,-0.07460917858853405,-0.12063192
75,0.19795165011529003,0.5299713,0.2537171213056886,0.05011580199107531,0.14818746,-0.3028437134449857,-0.35064811791562867,-0.36019152,0.6963354717125458,0.46689063318333807,0.5625907,-0.05003278996619506,-0.11568834793956445,-0.17539299
76,0.3015244532254553,0.16595359,0.1476581844701871,-0.025253265084389062,0.114663385,-0.3595920175728157,-0.5743072103920576,-0.38062763,0.5317996631525818,0.42440552676562426,0.48715046,-0.1783337969300742,-0.45711694211547,-0.17397775
77,0.23743655627497517,0.53724307,0.4252941009966529,0.191305031225141,0.31828788,-0.49825002972686283,-0.46129366225304275,-0.55483204,0.402970688541394,0.2740100732476662,0.35977876,0.21999097253519753,-0.18478589923429187,-6.76848e-05
78,0.2612175099364823,0.6639898,0.2008143975484215,-0.06577836868711098,0.06866971,-0.19815639209779004,-0.40218002747038734,-0.27709687,0.7718416030961777,0.5382217215673888,0.6022756,0.04617161526166949,-0.08241608296776033,-0.10083872
79,0.3550560690315828,0.8057393,0.08481146751405425,-0.05464380091159065,-0.07545394,-0.012502866494528336,-0.3372570390125049,-0.11020186,0.8572983088120167,0.5498652164723833,0.67064273,0.15269188027364317,-0.232249474505844,-0.092885375
80,0.30865408807354705,1.0908682,0.6902291366699113,0.4730875145443144,0.4730296,-0.08595200072614124,-0.2740029996895366,-0.20849627,0.8347937988679575,0.45563345176634895,0.6311308,0.09516667299711798,-0.2661116358695168,-0.19440629
81,0.3771703737071588,1.4405482,0.8646370989684279,0.4467403358877223,0.5779339,0.2603035373839194,-0.1853684238251022,0.08687494,1.0703668797919845,0.6249214495238619,0.709568,0.1003581643712837,-0.5643255081771793,-0.2908618
82,0.2778814825471611,0.6301371,0.9829595423125339,0.6663721868257985,0.8574693,0.1002458954565709,-0.00614729758283683,0.027190106,0.5667680362037245,0.17171853080830157,0.4417941,-0.28409037144611043,-0.7221966753070568,-0.41302067
83,0.22342340556240034,-0.2267333,0.6927763083589946,0.5847203944365703,0.7379243,0.006556852220103181,-0.1715835732039032,0.02987273,0.11301233004162745,-0.20799178934828075,0.2031256,-0.5191181959429702,-0.7538515704687807,-0.39960885
84,0.166162721462651,0.1668601,0.7951752808496686,0.6131677543370441,0.7619537,-0.20033116714098165,-0.3130625974982418,-0.21806286,0.25291862007116084,-0.04394165247389337,0.20424418,-0.046673895697892404,-0.3931368033108938,-0.1815598
85,-0.013213225375704962,-0.75738263,0.5988634494682914,0.5098359523079491,0.74958664,-0.43372768118903515,-0.41444865668170083,-0.34153104,-0.043389554479558654,-0.02866316656537778,0.12918791,-0.5778799079473597,-0.4866511329088312,-0.29172286
86,0.0598326467421323,-0.27969435,0.536818985870138,0.39927904322891583,0.59247494,-0.2577707893510368,-0.2882214252700547,-0.22251059,0.11544608563610942,0.01928348413809691,0.14878482,-0.108713570769272,-0.28740599190744454,-0.106611334
87,-0.010577704288276271,-1.0027468,0.1633844244098248,0.18349070739949452,0.3630008,-0.04052892341992315,-0.043835033419076935,0.07292713,-0.18188026739823632,-0.22139616287305156,0.038908146,-0.5209855776751595,-0.37134683750809877,-0.18542795
88,-0.008703586479123157,-0.72150874,0.1865261552695286,0.242027373081081,0.33011472,-0.021065578660204337,-0.09976894247118812,0.060337774,-0.1988468899267452,-0.20343861453881232,0.010850221,-0.17622563286365883,-0.27223675361971444,-0.02563347
89,0.06340841235676319,-0.7000214,0.03588979320507797,0.03541582928176523,0.17528018,-0.27291061832369,-0.4550701306008987,-0.1913302,0.20756676338804259,0.17753694078731044,0.31845897,-0.22885778214029162,-0.2706753536569852,-0.019385256
90,0.1303880887612548,-0.26363555,0.34039056920440675,0.16322050215218628,0.39285994,-0.5286083961898126,-0.6196550338722753,-0.49201635,0.4183218224752379,0.3081391782718347,0.45097786,0.02053223209776084,-0.04612185919774342,0.06618154
91,0.23019585510717272,0.063507736,0.6055010801400019,0.3557948277185403,0.5928471,-0.37801082972503774,-0.620679535517222,-0.38723686,0.47933203935525087,0.3078724385703574,0.47181684,0.11929451982959619,-0.15824573050209695,0.06324106
92,0.21542303243075916,-0.37079152,0.6540953180491844,0.37573188500820526,0.7278607,-0.49958353346320666,-0.5802029615380598,-0.4517992,0.4771825095592509,0.19805549089443286,0.52829,-0.17742809771037393,-0.4852124578423823,-0.07920945
93,0.1519282856241361,-1.1218107,0.42723802248208737,0.26212235554583607,0.6505629,-0.34247531810913834,-0.5254206633186569,-0.21382594,0.26494642524653284,0.10722682846849868,0.45466256,-0.58298382154249,-0.7310157498012957,-0.22675653
94,0.13997055398817623,-1.5431335,0.5354440670986204,0.3135971180756999,0.8425229,-0.39276912679876363,-0.414549362207788,-0.20956069,-0.19910124011103697,-0.28675147443435434,0.1652226,-0.5229498377083853,-0.7603069084925468,-0.17675787
95,-0.11312961110552824,-2.6800961,0.10115258144530417,0.2048229392550624,0.634634,-0.348526173554654,-0.37840143938959747,-0.03420852,-0.40236810537365036,-0.21170105122511002,0.13671434,-1.1492311558262063,-0.9438632730226129,-0.37052837
96,-0.3301964819689913,-2.7677355,0.10948131310401024,0.3612089234598329,0.6603061,-0.15539365956913687,-0.14532020993016692,0.16232741,-0.5225999895200347,-0.038343986575865324,0.049194094,-1.1075712239769508,-0.740353036810398,-0.3498156
97,-0.5286014238221517,-3.9359784,-0.5007727786876546,-0.05925363190216676,0.28266007,-0.5998881492689841,-0.21765876379633886,-0.13900226,-0.8016984988896365,-0.3181210668089895,-0.018154562,-1.3969393134270647,-0.7539796686619273,-0.27414924
98,-0.678188447962374,-4.3992944,-0.8761281717254263,-0.117487060740571,-0.00049308315,-0.9974609676128052,-0.30347470495840256,-0.47221813,-1.14350952654875,-0.4053640007433174,-0.21915148,-1.0288259552385608,-0.14108866741668113,0.046440676
99,-0.6182223139538585,-4.994667,-1.297063119295218,-0.4980264006542849,-0.30286762,-0.6585113462808361,-0.17094843318865283,-0.07921875,-1.3394957817775732,-0.5731712344710016,-0.30713838,-1.3542824776334594,-0.5064552382568485,4.8230402e-05
100,-0.7540441722578677,-5.2748322,-1.3220294932579955,-0.7223346066015832,-0.27208993,-0.7717484641914171,-0.36710505703984014,-0.15202214,-1.4382111406129316,-0.6896173260894789,-0.36067253,-1.3659846547085719,-0.40088131034987035,0.016981874
101,-0.8107685553637761,-5.4832687,-1.1263146519411138,-0.3412119696485639,-0.03493506,-0.7474605998859906,-0.2352302898338718,-0.103985645,-1.5589191925321801,-0.611028900652589,-0.44759858,-1.599898965948672,-0.600925218279133,-0.06935587
102,-0.6158843106958664,-5.0900617,-0.8983260780524206,-0.1109931778069421,0.11476159,-0.579028911927761,-0.1728012543081574,0.01628163,-1.7432412029519315,-0.9251183984852553,-0.6180279,-1.2318321756012915,-0.6373624869698263,0.07003891
103,-0.6693239063550802,-4.9506207,-0.9789461038698102,-0.23824024779285885,0.0064439066,-0.5280172757873233,-0.16035737693425103,0.055129267,-1.3561719478011334,-0.7220378797324584,-0.35838285,-1.3059457404803139,-0.5297667043985275,-0.006839417
104,-0.5586965710850172,-4.934027,-0.9845140436801437,-0.5030049018321094,-0.0025437325,-0.23268674130968134,0.10995551452498853,0.34054002,-1.1824161063212801,-0.5141401791711497,-0.2039822,-1.6064829497719857,-0.9777764023430473,-0.17693901
105,-0.6987392230864988,-5.4870586,-1.7471668403254115,-1.0204599341256233,-0.6549153,-0.3727116425896524,-0.0053667051742168626,0.27394047,-1.3174276815167068,-0.507924627100679,-0.23992136,-1.4078512588949357,-0.8083414883685156,0.042397626
106,-0.7295548567666433,-5.474759,-1.7568510442918628,-0.9760900455933067,-0.6670407,-0.11399467063271344,0.30475136143923826,0.52198696,-1.7020520365962184,-0.9036596961878286,-0.5454245,-1.189526334183829,-0.2927008680639768,0.19667375
107,-0.8720581650032305,-5.4365954,-1.0775635152767642,-0.3455935363048302,0.00441633,-0.2482842984613897,0.20998637176717572,0.38557267,-1.837654138474018,-0.9926490792494759,-0.679174,-1.4425444529104197,-0.3573331895373901,0.069875225
108,-0.9229131263883149,-5.6686573,-1.234419492593072,-0.20677765156637617,-0.10609828,-0.6337229494129886,-0.02356336933179365,0.036711566,-1.6846625331265581,-0.671461823186043,-0.5899511,-1.3866810351683354,-0.2572954782956912,0.15104142
109,-0.7968669057697055,-5.645451,-1.1643577025865066,-0.28767546104131764,-0.040677097,-0.4756436522056095,-0.008362758316211126,0.17897463,-2.100819920359781,-1.1043546113985818,-0.88379896,-1.137760823672063,-0.0009372484126204395,0.3090945
110,-1.0559649692485578,-6.2907033,-1.1863344217287897,-0.1515080999850587,0.06573364,-0.9380151724833531,-0.16812698670078413,-0.19617458,-2.163647130215753,-1.056473364453557,-0.8717216,-1.454039172274046,-0.03689454860904523,0.24202046
111,-0.9908014227166791,-6.6831846,-1.3927294850974792,-0.44097355558618845,-0.062483713,-1.0009720435902283,-0.24726496653265234,-0.21333359,-2.3016067055468272,-1.163226168132308,-0.86724114,-1.4989372204538025,-0.16027844425288612,0.22414759
112,-0.9551410823668375,-6.4255166,-1.3397989737205516,-0.43429219478778724,-0.06084486,-0.6361789718386871,-0.1382569782237982,0.11160401,-1.7639436904843813,-0.9020808970338066,-0.53318435,-1.818629049116258,-0.6417070397613254,-0.02580204
113,-1.0442635757213568,-6.7314982,-1.3023926422309335,-0.34925287096647145,0.03741595,-0.7366323046542007,-0.02726826928151986,0.0515786,-2.0821952242095305,-0.9333933187162489,-0.6868677,-1.7986443413829558,-0.4236842367230722,-0.012838498
