raw_name,humanized_name,tn_stream_id
household_consumption_expenditures_for_services_financial_services_and_insurance,pce_us_household_consumption_expenditures_for_services_financial_services_and_insurance_frozen_index,st42fcd88840870efc5d482caf7fa2d9
nondurable_goods_gasoline_and_other_energy_goods,pce_us_nondurable_goods_gasoline_and_other_energy_goods_frozen_index,st173f432c0b9a6f0e9b71ea17cc2cf4
household_consumption_expenditures_for_services_transportation_services,pce_us_household_consumption_expenditures_for_services_transportation_services_frozen_index,st53f16c9015f2fe22aa808d4fe4e028
nondurable_goods_food_and_beverages_purchased_for_off_premises_consumption,pce_us_nondurable_goods_food_and_beverages_purchased_for_off_premises_consumption_frozen_index,std02b6d6c91c2a80e38851738f9e175
goods,pce_us_goods_frozen_index,st7417583907ff096de4ead371eee385
durable_goods_other_durable_goods,pce_us_durable_goods_other_durable_goods_frozen_index,st5ff42a80676ea57e79df018e431d7c
household_consumption_expenditures_for_services_recreation_services,pce_us_household_consumption_expenditures_for_services_recreation_services_frozen_index,stb9e1fdb310286290fa382331568bbc
household_consumption_expenditures_for_services_other_services,pce_us_household_consumption_expenditures_for_services_other_services_frozen_index,st0489fc9f3d3b72003fc3a0aad5d4d8
services_final_consumption_expenditures_of_nonprofit_institutions_serving_households_npishs,pce_us_services_final_consumption_expenditures_of_nonprofit_institutions_serving_households_npishs_frozen_index,stc768d4189aa485c84e27b6c6f9838f
household_consumption_expenditures_for_services_health_care,pce_us_household_consumption_expenditures_for_services_health_care_frozen_index,stea88da2312e18c566ccc89ec04673a
household_consumption_expenditures_for_services_food_services_and_accommodations,pce_us_household_consumption_expenditures_for_services_food_services_and_accommodations_frozen_index,st93a00e85d244846df409ae8aedde9b
services,pce_us_services_frozen_index,st4d54e7bc0b55428025b1e207b2c938
nondurable_goods_clothing_and_footwear,pce_us_nondurable_goods_clothing_and_footwear_frozen_index,st23992c5f19ca107cc349c072fa73c2
